Gene,Half_Life
YOR365C,87.14724545640227
YAL035C-A,87.11033976398092
YGR192C,87.06609400543066
YOR351C,86.91810078842309
YJL059W,86.85223616503667
YAR061W,86.59553677766212
YER008C,86.57457574092204
YPL027W,86.4066675604988
YDR366C,86.39322716716872
YMR045C,86.37466041360261
YDR461W,86.12106079740954
YLR064W,85.8834808060318
YDL129W,85.84193853310934
YKL038W,85.71354526382056
YBR040W,85.6567246446802
YKR061W,85.52348023275013
YIR040C,85.4122033031661
YDL234C,85.38830343833939
YDR125C,85.31996682255777
YPR195C,85.23303404546053
YLR303W,85.21654972484968
YJL217W,85.07740797831649
YOR356W,85.01118919888647
YLR046C,84.76413996075974
YML128C,84.7381475562582
YNL239W,84.70524036302307
YMR084W,84.62853655946755
YMR031W-A,84.56300129544236
YLR326W,84.55701742880842
YLR159W,84.54200114643854
YIL071C,84.47204525755497
YPR200C,84.46055255746953
YLR309C,84.45931784465364
YNL024C,84.34124577538098
YHR199C,84.22846825984283
YLR158C,84.07312925482589
YPL262W,84.02358248158536
YHR174W,84.00505953611189
YOR382W,83.97720493589571
YML109W,83.891677507985
YPR001W,83.88639495447015
YDL102W,83.82674384057988
YCR013C,83.80149259013795
YAR070C,83.7238329985611
YKR073C,83.70689421222266
YBL005W-A,83.49591542456962
YHR102W,83.48027115894716
YKL066W,83.40674701802655
YMR303C,83.33900690068701
YNL235C,83.3271901088171
YNL173C,83.27583502852069
YPL233W,83.17212801645894
YJL160C,83.04712190450834
YIL025C,82.88550268842803
YML003W,82.74727950392247
YPL121C,82.69253835030162
YLR306W,82.59992047711678
YOR013W,82.51506667056847
YDR202C,82.50653118740128
YDR052C,82.48793632078977
YPL170W,82.37643622957837
YIL135C,82.33037256766669
YGL240W,82.18366711883154
YOR160W,82.14493155939944
YGL059W,82.09809625515774
YNL045W,82.04658508275247
YKR067W,81.95914396623984
YFL037W,81.86345459204765
YPL153C,81.84789243231526
YMR030W,81.7922607092557
YGL166W,81.7698269717106
YLR434C,81.6039640599683
YBR078W,81.54871541083183
YKL086W,81.53274873414368
YPL109C,81.51702879692529
YGL126W,81.3962507936598
YHR136C,81.38263119768314
YML045W,81.31833834276581
YPL258C,81.27444238921514
YDR320C,81.23731968232866
YHR006W,81.21110363448544
YGL177W,81.14358505626335
YJR008W,80.9476726564986
YGL208W,80.9463612668409
YHR126C,80.94308015353688
YOR010C,80.91750074584701
YLR392C,80.87838875507701
YML107C,80.8125184836928
YJL103C,80.73643750365478
YLR349W,80.73115067592067
YBR144C,80.62777250395756
YDR250C,80.56714161623664
YOR292C,80.51790915862263
YDL246C,80.37785242372138
YBR280C,80.34739016990439
YOR129C,80.24461339578667
YML040W,80.21291277653187
YHL032C,80.19151279189536
YNR069C,80.0701609881232
YPL130W,80.06438123646949
Q0110,80.04338298900744
YFL057C,79.91382053614052
YOR285W,79.87991738256439
YPR111W,79.82820755472017
YHR064C,79.77693411857037
YFR020W,79.58647798369536
YDR305C,79.45409837710501
YER166W,79.38597982434699
YIL073C,79.36730313352629
YJL052W,79.30448518800809
YKR070W,79.1826328510048
YOR111W,79.12099362133371
YJL119C,79.06740626910819
YMR301C,79.03831865250794
YOR032C,79.02289020756552
YGL215W,79.00278154985163
YPR028W,78.89204668211121
YLR245C,78.64668059494126
YOR343C,78.64610876527725
YGL036W,78.62344326820823
YKR034W,78.62272081350176
YKL076C,78.47278847775551
YKR101W,78.42490299858919
YDR218C,78.34926611626545
YDL176W,78.17109416567685
YKR049C,78.16252403824089
YGL138C,78.1225948684573
YLR142W,78.1210577501946
YDL194W,78.08414016556226
YMR299C,78.07978156562599
YJR029W,77.94496322604407
YJR022W,77.91863645553207
YJR037W,77.9136107923373
YKL070W,77.90322932783587
YMR201C,77.88274922040652
YER057C,77.84314583338654
YLR092W,77.81936981935536
YDL186W,77.80332055981027
YBL033C,77.78374108534301
YPL021W,77.74516482093986
YNL204C,77.73477553000829
YGL256W,77.5880209475501
Q0130,77.51615537937194
YDR540C,77.51245591641226
YJR027W,77.24592001853078
YJR045C,77.23595658957674
YLR116W,77.23453153782533
YPL113C,77.20500805916276
YLR153C,77.13225328908679
YGR126W,77.12632801818405
YCL019W,77.11151499736978
YBR250W,77.10219191499228
YOR050C,77.02525137255901
YLR312C,76.97554400643268
YMR068W,76.84752894412672
YFR015C,76.83370018831974
YLR366W,76.80101173287822
YHR018C,76.67619147824948
YMR304C-A,76.58112750776296
YKR058W,76.52288581640384
YLR327C,76.47316386093257
YDR504C,76.3123820679272
